co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Công Thương,SDU,Trường đại học,Công lập,SaoDo University,TRƯỜNG ĐẠI HỌC SAO ĐỎ,Hải Dương,http://saodo.edu.vn/
Bộ Giáo dục và Đào tạo,SPH,Trường đại học,Công lập,Hanoi National University of Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM HÀ NỘI,Hà Nội,https://hnue.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",SKD,Trường đại học,Công lập,Hanoi Academy of Theatre and Cinema,TRƯỜNG ĐẠI HỌC SÂN KHẤU ĐIỆN ẢNH HÀ NỘI,Hà Nội,http://skda.edu.vn/
Bộ Lao động - Thương binh và Xã hội,SKN,Trường đại học,Công lập,Nam Dinh University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT NAM ĐỊNH,Nam Định,http://nute.edu.vn/
Bộ Giáo dục và Đào tạo,SPK,Trường đại học,Công lập,HCMC University of Technology and Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,http://hcmute.edu.vn/
Bộ Giáo dục và Đào tạo,SKH,Trường đại học,Công lập,Hung Yen University of Technology and Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT HƯNG YÊN,Hưng Yên,http://utehy.edu.vn/
Bộ Lao động - Thương binh và Xã hội,SKV,Trường đại học,Công lập,Vinh University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT VINH,Nghệ An,http://spktvinh.edu.vn/
Bộ Giáo dục và Đào tạo,SP2,Trường đại học,Công lập,Hanoi Pedagogical University 2,TRƯỜNG ĐẠI HỌC SƯ PHẠM HÀ NỘI 2,Vĩnh Phúc,https://www.hpu2.edu.vn/
Bộ Lao động - Thương binh và Xã hội,VLU,Trường đại học,Công lập,Vinh Long University of Technology Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM KỸ THUẬT VĨNH LONG,Vĩnh Long,http://vlute.edu.vn/
Bộ Giáo dục và Đào tạo,GNT,Trường đại học,Công lập,National University of Arts Education - NUAE,TRƯỜNG ĐẠI HỌC SƯ PHẠM NGHỆ THUẬT TRUNG ƯƠNG,Hà Nội,http://www.spnttw.edu.vn/
